title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Spider Fighter;0.75;;;0.75;Atari 2600
Super Breakout;;;;;Atari 2600
Yars' Revenge;0.35;;;0.35;Atari 2600
Grand Prix;0.08333333333333333;;;0.08333333333333333;Atari 2600
Boxing;0.08333333333333333;;;0.08333333333333333;Atari 2600
Enduro;;;;;Atari 2600
Superman (1979);0.08333333333333333;;;0.08333333333333333;Atari 2600
Frostbite;;;;;Atari 2600
SwordQuest: WaterWorld;0.3;;;0.3;Atari 2600
Keystone Kapers;;;;;Atari 2600
Solaris;2;;;2;Atari 2600
Astroblast;0.08333333333333333;;;0.08333333333333333;Atari 2600
Barnstorming;0.08333333333333333;;;0.08333333333333333;Atari 2600
Circus;0.7;;0.8833333333333333;0.75;Atari 2600
E.T. the Extra-Terrestrial;1;;2.5;2;Atari 2600
Joust;0.9;;;0.9;Atari 2600
Jungle Hunt;0.08333333333333333;;;0.08333333333333333;Atari 2600
Phoenix;0.6333333333333333;;;0.6333333333333333;Atari 2600
Pole Position;;;;;Atari 2600
Raiders of the Lost Ark;;;;;Atari 2600
Dragster;0.016666666666666666;;;0.016666666666666666;Atari 2600
Custer's Revenge;;;;;Atari 2600
Defender;;;;;Atari 5200
Galaga;3;;3;3;Atari 7800
Xenophobe;;;;;Atari 7800
Dark Chambers;1;;;1;Atari 7800
Xevious;;;6;6;Atari 7800
Joust;0.9;;;0.9;Atari 7800
Wolfenstein 3D;7;10;11;8;Atari Jaguar
Doom;4;5;8;4.5;Atari Jaguar
Dragon: The Bruce Lee Story;0.8166666666666667;1;3.5;1;Atari Jaguar
Alien vs Predator (Jaguar);12.5;;;12.5;Atari Jaguar
Kasumi Ninja;0.5166666666666667;;;0.5166666666666667;Atari Jaguar
Batman Returns;2;;;2;Atari Lynx
California Games;8;2;2;4.5;Atari Lynx
Samorost 2;1;1;1;1;Browser
Card Hunter;27;;;;Browser
Depression Quest;0.9833333333333333;1.5;0.8333333333333334;1;Browser
Doodle God;5.5;;5.5;5.5;Browser
Musaic Box;2;2;2;2;Browser
Don't Shit Your Pants;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;Browser
Knightmare Tower;2.5;3;4;3;Browser
Rebuild 2;;;4;4;Browser
Frog Fractions;1;1.5;1;1;Browser
This Is The Only Level;0.48333333333333334;0.6666666666666666;0.25;0.4;Browser
Abobo's Big Adventure;1.5;2;;2;Browser
Pretentious Game;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;Browser
