title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Pure;9;14;15;13.5;Xbox 360
Quantum Theory;7;14;;8;Xbox 360
Resident Evil 5: Desperate Escape DLC;1;1;2;1;Xbox 360
Resident Evil 5: Lost In Nightmares DLC;1;1.5;2.5;1;Xbox 360
Robert Ludlum's The Bourne Conspiracy;6.5;8;13.5;7.5;Xbox 360
Roogoo;2.5;;;2.5;Xbox 360
Saints Row: The Third - Gangstas in Space DLC;0.9666666666666667;1;1;1;Xbox 360
Scott Pilgrim vs. the World: The Game;3.5;7.5;11.5;5.5;Xbox 360
Sega Rally Revo;;;34;34;Xbox 360
Shadowrun (2007);;;;;Xbox 360
Sleeping Dogs: The Year of the Snake DLC;2;2.5;3;2.5;Xbox 360
Sonic 3 & Knuckles;4.5;5;7;5;Xbox 360
Soulcalibur V;2;25.5;210;5;Xbox 360
Splatterhouse (2010);8.5;12.5;17.5;9.5;Xbox 360
Stuntman: Ignition;5.5;6.5;12;7;Xbox 360
Teenage Mutant Ninja Turtles: Turtles in Time;2;4;3.5;2.5;Xbox 360
Terminator Salvation;4;6;6;5;Xbox 360
Test Drive Unlimited;28.5;53.5;104.5;46.5;Xbox 360
The Legend of Spyro: Dawn of the Dragon (Console);6;10;10;8;Xbox 360
The Simpsons Game (Console/PSP);7.5;12.5;18.5;9.5;Xbox 360
The Walking Dead: Episode 1 - A New Day;2.5;2.5;2.5;2.5;Xbox 360
Thor: God of Thunder;4.5;8;6;5.5;Xbox 360
Tom Clancy's Ghost Recon Advanced Warfighter (360);7;8.5;;7;Xbox 360
Too Human;13.5;20.5;75.5;17.5;Xbox 360
Tron: Evolution;6.5;8.5;13.5;7;Xbox 360
Ultimate Mortal Kombat 3;1;7;12;3;Xbox 360
Watchmen: The End Is Nigh - Part 1;3;3;3;3;Xbox 360
Wet;7;11;12.5;7.5;Xbox 360
Wik and the Fable of Souls;5;;;5;Xbox 360
Ride to Hell: Retribution;8.5;14.5;17.5;9.5;Xbox 360
Galaga Legions DX;1.5;2;5.5;2;Xbox 360
Far Cry Classic;12.5;13;12;12.5;Xbox 360
Earth Defense Force 2025;16;47.5;;19.5;Xbox 360
BioShock 2: Protector Trials DLC;;2;4;3;Xbox 360
Dark Souls II: Crown of the Old Iron King DLC;4.5;6.5;12;6.5;Xbox 360
Game of Thrones: Episode 2 - The Lost Lords;2;2;2;2;Xbox 360
Game of Thrones: Episode 6 - The Ice Dragon;2;2;2;2;Xbox 360
'Splosion Man;8.5;10;21;10;Xbox 360
3D Ultra MiniGolf Adventures;;;;;Xbox 360
Aegis Wing;2;3.5;7.5;3.5;Xbox 360
After Burner Climax;0.25;3.5;6.5;4;Xbox 360
Alan Wake: The Signal DLC;1.5;1.5;2.5;1.5;Xbox 360
Alien Hominid HD;6;7;;6;Xbox 360
Amped 3;6.5;10.5;9;9;Xbox 360
Armored Core: For Answer;9.5;19;272.5;41.5;Xbox 360
Bakugan Battle Brawlers;6;;29.5;14.5;Xbox 360
Band Hero;5.5;6.5;23;7;Xbox 360
Blazing Angels 2: Secret Missions of WWII;10;16;;13;Xbox 360
Blazing Angels: Squadrons of WWII;;;;;Xbox 360
Blue Dragon;46;58;101;58.5;Xbox 360
Borderlands: Mad Moxxi's Underdome Riot DLC;3;5;4;3.5;Xbox 360
Crack Down;;;7;7;Xbox 360
Crimson Skies: High Road to Revenge;8.5;12;53;13;Xbox 360
Darksiders II: The Demon Lord Belial DLC;1;1.5;1.5;1.5;Xbox 360
Daytona USA;1;1.5;2;1.5;Xbox 360
Dead or Alive 4;3.5;10;100;17;Xbox 360
Dead Space: Ignition;1.5;3;4;2.5;Xbox 360
Devil May Cry HD Collection;22.5;;73.5;30;Xbox 360
DJ Hero;7;10;14;8;Xbox 360
Doom 3: The Lost Mission;2;2;2.5;2;Xbox 360
Doritos Crash Course;2;2;9;3;Xbox 360
Dragon Ball Z: Budokai;4;6;11;5.5;Xbox 360
Dungeons & Dragons: Daggerdale;7.5;7.5;8;7.5;Xbox 360
Eat Lead: The Return of Matt Hazard;7;8.5;15.5;9;Xbox 360
Enchanted Arms;22;45.5;50;42.5;Xbox 360
Enemy Territory: Quake Wars;9.5;8.5;;9;Xbox 360
Enslaved: Odyssey to the West - Pigsy's Perfect 10 DLC;3;3;4;3;Xbox 360
F.E.A.R. 2: Reborn;1.5;2;2;1.5;Xbox 360
Fallout 3: Operation Anchorage DLC;2.5;3;3;3;Xbox 360
Fallout: New Vegas - Dead Money DLC;5.5;7;8;6.5;Xbox 360
Far Cry Instincts Evolution;7;;;7;Xbox 360
Feeding Frenzy;2;4;14;3.5;Xbox 360
FIFA 11;77.5;;19.5;;Xbox 360
Fight Night Champion;4.5;13.5;;5;Xbox 360
Final Fight: Double Impact;1;0.8666666666666667;5.5;1.5;Xbox 360
Galaga;3;;3;3;Xbox 360
Golden Axe: Beast Rider;7.5;;;7.5;Xbox 360
GoldenEye 007: Reloaded;6;10;16;7;Xbox 360
Hannah Montana: The Movie;2.5;3;4;3.5;Xbox 360
Hitman HD Trilogy;24;;;;Xbox 360
Interpol: The Trail of Dr. Chaos;;3.5;3;3;Xbox 360
Jewel Quest;;24;2;13;Xbox 360
Left 4 Dead - Crash Course DLC;2;;19;3;Xbox 360
Left 4 Dead - The Sacrifice DLC;2;;23;3.5;Xbox 360
Lost: Via Domus;5.5;6;6.5;6;Xbox 360
Madden NFL 07;;;;;Xbox 360
Madden NFL 08;10;;;;Xbox 360
Marathon 2: Durandal;;;7.5;7.5;Xbox 360
Marvel vs. Capcom 3: Fate of Two Worlds;1.5;28;298;7;Xbox 360
Mass Effect 2: Kasumi DLC;1.5;1.5;1.5;1.5;Xbox 360
Mass Effect 2: Lair of the Shadow Broker DLC;2;2.5;3;2.5;Xbox 360
Mass Effect 2: Zaeed - The Price of Revenge DLC;0.9833333333333333;1.5;1.5;1;Xbox 360
Metal Gear Rising: Revengeance - Blade Wolf DLC;1;1.5;2;1;Xbox 360
Metal Gear Rising: Revengeance - Jetstream DLC;1.5;2;3;1.5;Xbox 360
Metal Slug XX;0.8666666666666667;2;;0.9333333333333333;Xbox 360
Michael Jackson: The Experience;9;;;9;Xbox 360
Naruto Shippuden: Ultimate Ninja Storm 3;12.5;20.5;31;16;Xbox 360
NCAA Football 11;54;;;;Xbox 360
NHL 12;;70;;;Xbox 360
Ninja Gaiden Black;18;25;34;20.5;Xbox 360
Phantasy Star Universe: Ambition of the Illuminus;;27.5;;27.5;Xbox 360
Prince of Persia (2008): Epilogue DLC;2;2;3;2.5;Xbox 360
Rez HD;2.5;;;2.5;Xbox 360
Rise of Nightmares;9.5;20;40;14.5;Xbox 360
Rock Band 2;9;59.5;397;34.5;Xbox 360
Saints Row: The Third - Genkibowl VII DLC;1;2;4;2;Xbox 360
Serious Sam 3: Jewel of the Nile;2;3;4;2.5;Xbox 360
Shinobi (1987);0.5166666666666667;3;1.5;1;Xbox 360
Sneak King;3;;;3;Xbox 360
Sonic the Hedgehog (2006);17.5;19;23;18;Xbox 360
Soulcalibur;0.6;9;52;6;Xbox 360
Spider-Man 3;10;12;12.5;11;Xbox 360
Stacking: The Lost Hobo King DLC;0.8;1;1;1;Xbox 360
Stranglehold;6;7.5;9;6.5;Xbox 360
Street Fighter II Turbo: Hyper Fighting;1.5;2;13;3;Xbox 360
Super Puzzle Fighter II Turbo HD Remix;1.5;;;1.5;Xbox 360
Super Street Fighter IV: Arcade Edition;3.5;16;54;6;Xbox 360
Surf's Up (Console/PC);1;;6;2;Xbox 360
Tekken Tag Tournament 2;0.6;9;38.5;4.5;Xbox 360
The Chronicles of Narnia: Prince Caspian;10;;11.5;11;Xbox 360
The Cursed Crusade;7.5;12;17.5;11;Xbox 360
The Elder Scrolls IV: Knights of the Nine;5;12.5;16.5;6.5;Xbox 360
The Lord of the Rings: Conquest;6;7;9;6.5;Xbox 360
The Lord of the Rings: The Battle for Middle-earth II;15;19.5;22.5;17.5;Xbox 360
Top Spin 2;10;;;10;Xbox 360
Toy Story 3: The Video Game;4.5;6.5;20;7;Xbox 360
Triggerheart Exelica;2;;;2;Xbox 360
Trivial Pursuit (2009);1;5;11.5;4.5;Xbox 360
Warriors Orochi 3;31;43;121.5;45.5;Xbox 360
Watchmen: The End Is Nigh - Part 2;2;;2;2;Xbox 360
WWE '12;11;;32.5;14;Xbox 360
WWE '13;5.5;13;16;10.5;Xbox 360
WWE SmackDown vs. Raw 2009;5.5;;37;9.5;Xbox 360
WWE SmackDown vs. Raw 2010;14;21.5;31.5;24.5;Xbox 360
WWE SmackDown vs. Raw 2011;21;23.5;36.5;27;Xbox 360
X-Men: The Official Game (Console/PC);14;12;12;12;Xbox 360
Zombie Apocalypse;5;5.5;6.5;5.5;Xbox 360
NBA Live 06;4;;;;Xbox 360
BioShock Infinite: Clash in the Clouds DLC;3;5;7.5;5;Xbox 360
Madden NFL 25;28.5;2;30;;Xbox 360
Mark of the Ninja: Special Edition DLC;0.9333333333333333;1.5;2.5;1.5;Xbox 360
Yaiba: Ninja Gaiden Z;6;7;6;6;Xbox 360
Borderlands 2: Creature Slaughter Dome DLC;0.9666666666666667;1;0.9666666666666667;0.9666666666666667;Xbox 360
Flashback (2013);6;4.5;8.5;6;Xbox 360
Pro Evolution Soccer 2014;50;;25;;Xbox 360
Teenage Mutant Ninja Turtles (2013);3;4.5;6;4.5;Xbox 360
NHL 14;79;35;155;;Xbox 360
2006 FIFA World Cup;6;;;;Xbox 360
Saints Row IV: How the Saints Save Christmas DLC;1;1.5;2;1.5;Xbox 360
Aliens: Colonial Marines - Stasis Interrupted DLC;2.5;3.5;4.5;3;Xbox 360
Castlevania: Lords of Shadow 2 - Revelations DLC;2.5;3;3;3;Xbox 360
Batman: Arkham Origins - Cold, Cold Heart DLC;2.5;3;4;3;Xbox 360
Left 4 Dead 2: The Passing DLC;0.8666666666666667;;;0.8666666666666667;Xbox 360
Dragon Age II: The Exiled Prince DLC;;4;3;3;Xbox 360
Dark Souls: Artorias of the Abyss;7.5;9.5;11.5;8.5;Xbox 360
The Elder Scrolls V: Skyrim - Hearthfire;2.5;7;6;5;Xbox 360
Dragon Age: Origins - A Tale of Orzammar DLC;0.5166666666666667;;;0.5166666666666667;Xbox 360
Watch Dogs: Bad Blood DLC;4;6.5;16.5;6.5;Xbox 360
The Evil Within: The Assignment DLC;3;3.5;4;3.5;Xbox 360
Tales from the Borderlands: Episode 2 - Atlas Mugged;2;2.5;2;2;Xbox 360
The Evil Within: The Consequence DLC;3;3;3;3;Xbox 360
Saints Row: The Third - Initiation Station DLC;1;;;1;Xbox 360
Age of Booty;5;8;14;9.5;Xbox 360
Akai Katana;0.6666666666666666;;;0.6666666666666666;Xbox 360
Alan Wake: The Writer DLC;1.5;1.5;3;1.5;Xbox 360
Armored Core 4;;19;;19;Xbox 360
Assassin's Creed: Brotherhood - The Da Vinci Disappearance DLC;2.5;2.5;3;3;Xbox 360
Axel & Pixel;3;3.5;5;3.5;Xbox 360
Batman: Arkham City - Harley Quinn's Revenge DLC;2;2;2;2;Xbox 360
Battle Fantasia;2;;;2;Xbox 360
Battlefield 2: Modern Combat;6.5;;;6.5;Xbox 360
Beautiful Katamari;6;10.5;73;10;Xbox 360
Beijing 2008;5.5;;;;Xbox 360
Black;6.5;9;25;8;Xbox 360
BlazBlue: Continuum Shift;17.5;;46;19.5;Xbox 360
Borderlands 2: Sir Hammerlock's Big Game Hunt DLC;4;7;8;6;Xbox 360
Captain America: Super Soldier;6;7.5;10;8;Xbox 360
Crackdown 2;7;14;29;10.5;Xbox 360
Crystal Defenders;8;7;11.5;8.5;Xbox 360
Dishonored: Dunwall City Trials DLC;5.5;;12;7.5;Xbox 360
Disney Universe;12;11.5;;12;Xbox 360
Dragon Ball Z: Burst Limit;5.5;20;;6.5;Xbox 360
Dungeons & Dragons: Tower of Doom;1;;3.5;1.5;Xbox 360
Dynasty Warriors 5: Empires;14;;35;27;Xbox 360
Dynasty Warriors 6;15.5;46;135.5;23;Xbox 360
Dynasty Warriors: Gundam 3;34.5;53;99.5;56;Xbox 360
Epic Mickey 2: The Power of Two;10;13;;10.5;Xbox 360
F1 2011;13;17;;16;Xbox 360
Fable: The Journey;9;9;;9;Xbox 360
Fallout 3: Point Lookout DLC;3.5;5.5;6.5;5;Xbox 360
Fallout: New Vegas - Honest Hearts DLC;3.5;5;5.5;5;Xbox 360
Fallout: New Vegas - Lonesome Road DLC;3.5;5.5;6.5;5.5;Xbox 360
Fallout: New Vegas - Old World Blues DLC;6.5;9;10.5;9;Xbox 360
Far Cry Instincts;12;20;;13;Xbox 360
Far Cry Instincts: Predator;15.5;23;20;18.5;Xbox 360
FIFA 08;30;;2;;Xbox 360
Fist of the North Star: Ken's Rage;14.5;32;62.5;39.5;Xbox 360
Fist of the North Star: Ken's Rage 2;15.5;27;75;23.5;Xbox 360
Fracture;7;10;;7.5;Xbox 360
Green Lantern: Rise of the Manhunters (PS3/360);6;7;12;7.5;Xbox 360
Harry Potter and the Deathly Hallows - Part 1;5;9;19;6.5;Xbox 360
Harry Potter and the Deathly Hallows - Part 2;5;5;;5;Xbox 360
Harry Potter and the Order of the Phoenix;10;12.5;15;11.5;Xbox 360
Hexic HD;9;4;;6.5;Xbox 360
Hydrophobia;3;4;7.5;4;Xbox 360
ilomilo;9;11.5;17.5;12;Xbox 360
Kinect Star Wars;6.5;4.5;;5.5;Xbox 360
Madden NFL 06;4;;;;Xbox 360
Madden NFL 09;12;;;;Xbox 360
MagnaCarta II;39;42;44;41.5;Xbox 360
Marvel vs. Capcom 2;0.7166666666666667;22;179.5;7.5;Xbox 360
Mass Effect 2: Normandy Crash Site DLC;0.5166666666666667;0.5333333333333333;0.55;0.5166666666666667;Xbox 360
Mass Effect 2: Overlord DLC;2;2;2.5;2;Xbox 360
Mercenaries 2: World in Flames;18;24.5;33.5;23.5;Xbox 360
Naruto Shippuden: Ultimate Ninja Storm Generations;6;11;20.5;11.5;Xbox 360
Naruto: Rise of a Ninja;9;16;13;14;Xbox 360
Ninja Gaiden II (2008);14;18;34;16;Xbox 360
Phantasy Star;18.5;21;24;21.5;Xbox 360
Prince of Persia (1989);2;;2.5;2;Xbox 360
Pro Evolution Soccer 6;228;754;65;;Xbox 360
Radiant Silvergun;;;20;20;Xbox 360
Red Faction: Armageddon - Path to War DLC;1.5;2;1.5;1.5;Xbox 360
Rockstar Games presents Table Tennis;6;6;;6;Xbox 360
Samurai Warriors 2;30;44.5;51.5;47;Xbox 360
Shining in the Darkness;16;28;20;22.5;Xbox 360
Shrek the Third (PC/360);4;7;5.5;5;Xbox 360
Skate;12;28.5;38;22;Xbox 360
Skate 2;17;20.5;149;27.5;Xbox 360
Sleeping Dogs: Nightmare in North Point DLC;1.5;2;2.5;2;Xbox 360
Sonic's Ultimate Genesis Collection;18;;;;Xbox 360
Spectral Force 3: Innocent Rage;52;;;52;Xbox 360
Spider-Man: Friend or Foe;8;9;19;10.5;Xbox 360
Spider-Man: Shattered Dimensions (Console/PC);10;13.5;22;11.5;Xbox 360
Super Hang-On;0.65;;1.5;1.5;Xbox 360
Super Street Fighter II Turbo HD Remix;1;1.5;;1;Xbox 360
Teenage Mutant Ninja Turtles: Turtles in Time Re-Shelled;2;2.5;3;2;Xbox 360
The Adventures of Tintin;7.5;12;14;10;Xbox 360
The Orange Box;65.5;;8;;Xbox 360
The Sims 3 (Non-PC);65;;;;Xbox 360
The UnderGarden;5.5;5.5;10;7.5;Xbox 360
The Walking Dead: Episode 2 - Starved for Help;2.5;2.5;2.5;2.5;Xbox 360
The Walking Dead: Episode 3 - Long Road Ahead;2.5;2.5;2.5;2.5;Xbox 360
The Walking Dead: Episode 4 - Around Every Corner;2.5;2.5;3;3;Xbox 360
The Walking Dead: Episode 5 - No Time Left;1.5;1.5;1.5;1.5;Xbox 360
TMNT;5;6;5;5;Xbox 360
Tom Clancy's Ghost Recon Advanced Warfighter 2 (PS3/PSP/X360);9.5;12;;10;Xbox 360
Tony Hawk's Project 8;17;17;;17;Xbox 360
Transformers: Revenge of the Fallen;6.5;8;30;9;Xbox 360
Turok (2008);8;9;;8;Xbox 360
UFC 2009 Undisputed;20;;;;Xbox 360
Virtua Fighter 5;1;8;1;1.5;Xbox 360
Viva Piñata: Trouble in Paradise;70;;16;43;Xbox 360
Wheelman;8;11.5;20.5;10;Xbox 360
Zeit 2;1;2.5;;2;Xbox 360
The Raven: Legacy of a Master Thief - Chapter I;5.5;6.5;6.5;6;Xbox 360
FIFA 14;192;135.5;89;;Xbox 360
WWE 2K14;8;39;102;15;Xbox 360
Assassin's Creed III: The Tyranny of King Washington - The Betrayal DLC;1;;3.5;3;Xbox 360
LocoCycle;4.5;5;5.5;5;Xbox 360
Red Faction: Guerrilla - Demons of the Badlands DLC;1.5;4;5;3.5;Xbox 360
Fable III: Traitor's Keep DLC;;2;;2;Xbox 360
Dead Rising 2: Case Zero;3.5;3.5;5.5;4;Xbox 360
Batman: Arkham City - Catwoman DLC;1;2;2.5;2;Xbox 360
Game of Thrones: Episode 3 - The Sword in the Darkness;2;2;2;2;Xbox 360
Game of Thrones: Episode 4 - Sons of Winter;2;2;2.5;2;Xbox 360
1942: Joint Strike;1.5;;;1.5;Xbox 360
3 on 3 NHL Arcade;1;;1;1;Xbox 360
A Kingdom for Keflings;6;14.5;40;16;Xbox 360
A World of Keflings;7;11.5;14;10.5;Xbox 360
Ace Combat 6: Fires of Liberation;12.5;19.5;;14;Xbox 360
Amy;4.5;;;4.5;Xbox 360
Armored Core V;;20;;20;Xbox 360
Assassin's Creed III: The Tyranny of King Washington DLC;5;7;10;7;Xbox 360
Asterix at the Olympic Games;5.5;7;8.5;7;Xbox 360
Asura's Wrath: Episode 11.5 - Forging Ahead;0.35;0.2833333333333333;;0.3333333333333333;Xbox 360
Asura's Wrath: Episode 15.5 - Defiance;0.3333333333333333;0.26666666666666666;;0.31666666666666665;Xbox 360
Asura's Wrath: Episode Pack - Part IV;2;3.5;2;2;Xbox 360
Asura's Wrath: Lost Episode 1 - At Last, Someone Angrier Than Me;0.3333333333333333;0.4666666666666667;0.4166666666666667;0.3333333333333333;Xbox 360
Asura's Wrath: Lost Episode 2 - The Strongest vs. The Angriest;0.31666666666666665;0.3333333333333333;1;0.36666666666666664;Xbox 360
Avatar: The Last Airbender - The Burning Earth;6;;4;5.5;Xbox 360
Band of Bugs;5;4;;4.5;Xbox 360
Battle: Los Angeles;1;1.5;3;2;Xbox 360
Big Bumpin';0.7333333333333333;;;0.7333333333333333;Xbox 360
Black Knight Sword;8;;;8;Xbox 360
Bladestorm: The Hundred Years' War;;51;;51;Xbox 360
Blitz: The League II;20;;;20;Xbox 360
Bomberman Live;;2;;2;Xbox 360
Bubble Bobble Neo!;1.5;;;1.5;Xbox 360
Cabela's Dangerous Hunts 2011;4;;;4;Xbox 360
Cabela's Survival: Shadows of Katmai;2;5;;2.5;Xbox 360
Cars;6.5;;13;8.5;Xbox 360
Cars 2;5;8.5;11.5;7.5;Xbox 360
Cartoon Network: Punch Time Explosion;2.5;;;2.5;Xbox 360
Catan (2008);;;20;20;Xbox 360
Chromehounds;10;16;72;24.5;Xbox 360
Conan (2007);6;8;16.5;6.5;Xbox 360
Costume Quest: Grubbins on Ice DLC;2;2;2;2;Xbox 360
Crystal Quest;;;;;Xbox 360
CSI: Deadly Intent;6.5;;15;7.5;Xbox 360
CSI: Hard Evidence;7.5;;5;5.5;Xbox 360
Culdcept Saga;;47.5;;47.5;Xbox 360
Dance Dance Revolution Universe;;8;;8;Xbox 360
Darkest of Days;6;;10;7.5;Xbox 360
Darkstalkers 3;1.5;;;1.5;Xbox 360
Dead Rising 2: Case West;2.5;3;6;3;Xbox 360
Deathsmiles IIX;2;4;;3;Xbox 360
Def Jam: Icon;8;;;8;Xbox 360
Divinity II: Ego Draconis;35;27.5;46;34.5;Xbox 360
DJ Hero 2;7;9;;7.5;Xbox 360
DoDonPachi Resurrection;0.7833333333333333;;;0.7833333333333333;Xbox 360
Doom II: No Rest for the Living;2;2;3;2;Xbox 360
Dragon Age II: Legacy DLC;3;4;5.5;4;Xbox 360
Dragon Age II: Mark of The Assassin DLC;2.5;3.5;7;4;Xbox 360
Dragon Ball Z: Ultimate Tenkaichi;14.5;30.5;35;25;Xbox 360
Dungeons & Dragons: Shadow over Mystara;1;1.5;0.7333333333333333;1;Xbox 360
Dynasty Warriors 6: Empires;15;;28;20;Xbox 360
Dynasty Warriors 7;25;53;124;61;Xbox 360
Dynasty Warriors: Gundam 2;40;57;;54.5;Xbox 360
Dynasty Warriors: Strikeforce;;7.5;;7.5;Xbox 360
Dynasty Warriors: Strikeforce;;7.5;;7.5;PlayStation 3
EA Sports MMA;15;;;15;Xbox 360
Earth Defense Force 2017;9.5;30;72.5;17;Xbox 360
Earthworm Jim HD;2.5;11;;3;Xbox 360
Epic Dungeon;1.5;;2;1.5;Xbox 360
Eragon;5.5;;13;8;Xbox 360
Espgaluda II;0.5;;;0.5;Xbox 360
F.E.A.R. Files;10;13;;11;Xbox 360
Fallout 3: Broken Steel DLC;3.5;5;5.5;4.5;Xbox 360
Far Cry 3: Monkey Business DLC;1.5;;1.5;1.5;Xbox 360
Far Cry 3: The Lost Expeditions DLC;0.6;0.5;0.75;0.5666666666666667;Xbox 360
Fatal Fury Special;1;1;1.5;1.5;Xbox 360
FIFA 06: Road to FIFA World Cup;4.5;;;;Xbox 360
FIFA 09;27.5;12;;;Xbox 360
FIFA 12;150.5;;44;;Xbox 360
Fight Night Round 4;5;;;5;Xbox 360
Fighting Vipers;0.6333333333333333;;2;0.7666666666666667;Xbox 360
Fighting Vipers;0.6333333333333333;;2;0.7666666666666667;PlayStation 3
Frogger;1;;0.5;0.75;Xbox 360
Full Auto;;;;;Xbox 360
Fuzion Frenzy 2;2;5;9;4;Xbox 360
G-Force (Console/PC);7;;9;7.5;Xbox 360
Game Room;;;;;Xbox 360
Garou: Mark of the Wolves;0.7166666666666667;;6.5;2;Xbox 360
Gears of War 2: Road to Ruin DLC;0.65;0.95;2;0.7333333333333333;Xbox 360
Gears of War 3: RAAM's Shadow DLC;3;3;;3;Xbox 360
Geometry Wars: Retro Evolved 2;3;6;70;16;Xbox 360
Guardian Heroes;1.5;;6;1.5;Xbox 360
Guilty Gear 2: Overture;6;8;;7;Xbox 360
Guitar Hero Smash Hits;5;7.5;;5.5;Xbox 360
Guitar Hero: Aerosmith;5;22;68;8.5;Xbox 360
Guitar Hero: Van Halen;4;14.5;;6;Xbox 360
Guwange;1.5;;;1.5;Xbox 360
Hard Corps: Uprising;7.5;14.5;;10;Xbox 360
Harry Potter and the Half-Blood Prince;5;7;13.5;6;Xbox 360
Hasbro Family Game Night;;;22;22;Xbox 360
Heroes Over Europe;5.5;;;5.5;Xbox 360
Hydro Thunder Hurricane;5;6;9.5;6.5;Xbox 360
Ice Age: Dawn of the Dinosaurs;7;10;14;10;Xbox 360
Infinite Undiscovery;23.5;40.5;123.5;30.5;Xbox 360
James Cameron's Avatar: The Game (360/PS3/PC);8;11.5;16;9;Xbox 360
Karateka (2012);0.6333333333333333;1;5;0.7833333333333333;Xbox 360
Kinect Adventures;4.5;4;11;5.5;Xbox 360
Kinect Sports: Season Two;4;;;4;Xbox 360
Knights Contract;8.5;13;45;13.5;Xbox 360
"L.A. Noire: ""A Slip Of The Tongue"" Traffic Case DLC";0.6833333333333333;0.7166666666666667;0.9;0.8;Xbox 360
"L.A. Noire: ""Reefer Madness"" Vice Case DLC";0.85;0.95;1;0.9666666666666667;Xbox 360
"L.A. Noire: ""The Naked City"" Vice Case DLC";1.5;1.5;1.5;1.5;Xbox 360
Leisure Suit Larry: Box Office Bust;10;;;10;Xbox 360
Looney Tunes: Acme Arsenal;3.5;;;3.5;Xbox 360
Lost Odyssey: Seeker of the Deep! DLC;;;4;4;Xbox 360
Lumines Live!;;;;;Xbox 360
Madden NFL 11;20;;;;Xbox 360
Madden NFL 13;15.5;;20;;Xbox 360
Marble Blast Ultra;;;10;10;Xbox 360
Marvel Super Hero Squad: The Infinity Gauntlet (Console);4.5;;15;6;Xbox 360
Mass Effect 3: From Ashes DLC;1;1;1;1;Xbox 360
Mass Effect 3: Omega DLC;3;3;3.5;3;Xbox 360
Mass Effect: Bring Down the Sky DLC;1.5;1.5;2;1.5;Xbox 360
Mass Effect: Pinnacle Station DLC;1;2;2;2;Xbox 360
Megamind: Ultimate Showdown;3;;3.5;3.5;Xbox 360
MIB: Alien Crisis;2.5;4;5;3.5;Xbox 360
MindJack;7;8;;7.5;Xbox 360
Miner Dig Deep;5;;10;8;Xbox 360
MorphX;7;7;;7;Xbox 360
Ms. Pac-Man;1.5;4;;2.5;Xbox 360
MX vs. ATV Alive;13.5;17;;15;Xbox 360
MX vs. ATV Alive;13.5;17;;15;PlayStation 3
Naruto: The Broken Bond;18.5;16.5;25;19;Xbox 360
Naughty Bear;11;;;11;Xbox 360
NBA 2K11;42;;;;Xbox 360
NBA Jam (2010);8;;;8;Xbox 360
NBA Street Homecourt;13;;;;Xbox 360
NCAA Football 07;;;;;Xbox 360
NCAA Football 12;;;;;Xbox 360
NCIS: The Video Game;6;;6.5;6.5;Xbox 360
NeverDead;8;11;;9;Xbox 360
NHL 09;40;;;;Xbox 360
NHL 10;;102;;;Xbox 360
NHL 13;;102;20.5;;Xbox 360
Night at the Museum: Battle of the Smithsonian;3.5;;3.5;3.5;Xbox 360
Night Warriors: Darkstalkers' Revenge;0.7333333333333333;;;0.7333333333333333;Xbox 360
Ninety-Nine Nights;4;13;28.5;6;Xbox 360
Ninety-Nine Nights II;5;10.5;12;10;Xbox 360
Ninja Gaiden 3;7;9;;7;Xbox 360
Ninja Gaiden 3: Razor's Edge;8;11;78;10;Xbox 360
Otomedius Excellent;0.9833333333333333;;30;3;Xbox 360
Outpost Kaloki X;7;;;7;Xbox 360
Pac-Man Championship Edition;3;3;7.5;3.5;Xbox 360
Paperboy;3.5;;3;3.5;Xbox 360
Pirates of the Caribbean: At World's End;6;13;32;10.5;Xbox 360
Project Gotham Racing 3;9.5;26;30.5;13;Xbox 360
Quantum Conundrum: The Desmond Debacle DLC;1.5;2;2.5;2;Xbox 360
R-Type Dimensions;2;;;2;Xbox 360
Rage: The Scorchers DLC;2;2;3.5;2;Xbox 360
Raskulls;1.5;3.5;2.5;3;Xbox 360
Raven Squad: Operation Hidden Dagger;5.5;;;5.5;Xbox 360
Rayman 3 HD;8;15;;9;Xbox 360
Ridge Racer 6;8;;;8;Xbox 360
Rocket Knight;2;5;;2;Xbox 360
Saints Row 2: Corporate Warfare DLC;1;;2;1.5;Xbox 360
Saints Row 2: Ultor Exposed DLC;0.9166666666666666;;0.5833333333333334;0.8166666666666667;Xbox 360
Sam & Max 104: Abe Lincoln Must Die!;2.5;2.5;2.5;2.5;Xbox 360
Samurai Warriors 2 Empires;8;12.5;18;12.5;Xbox 360
Saw II: Flesh & Blood;8.5;8;10.5;9;Xbox 360
Scene It? Bright Lights! Big Screen!;;7;;7;Xbox 360
Secret Service (2008);4;6;10;5;Xbox 360
Shaun White Skateboarding;9.5;12;;10.5;Xbox 360
Shrek Forever After;5.5;8.5;12.5;9;Xbox 360
Skate 3;8;23.5;31.5;18;Xbox 360
Smash TV;1;2.5;1.5;1.5;Xbox 360
Sonic the Fighters;0.3333333333333333;0.36666666666666664;0.4166666666666667;0.36666666666666664;Xbox 360
Space Invaders Infinity Gene;;8;;8;Xbox 360
Spider-Man: Edge of Time;7.5;9.5;12;8;Xbox 360
Star Trek: Legacy;10;8;9;9;Xbox 360
Star Wars: The Force Unleashed - Hoth DLC;0.7166666666666667;27;;3;Xbox 360
Star Wars: The Force Unleashed - Jedi Temple DLC;0.6833333333333333;6.5;;1;Xbox 360
